Country Name,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Africa Eastern and Southern,397075.6603,409057.1792,434533.1377,466883.2388,468365.6979,476590.2999,500147.1845,533634.5146,515682.5438,543808.6518,535604.3575,559333.8573,580510.925,601860.164,586385.004,592299.594,601323.3947,600351.1333
Africa Western and Central,130120,133840,137380,141040,155650,153210,153350,157600,145550,165750,179070,181740,191990,198440,193060,195120,201900,224380
East Asia & Pacific,6734567.923,7102051.612,7805467.659,8640176.286,9406374.858,10068470.88,10757242.91,10956090.96,11446424.06,12423292.88,13409665.63,13756716.1,14185336.65,14155188.45,14136568.74,14170430.39,14433707.89,14810056.87
Europe & Central Asia,6499102.998,6509151.123,6701217.57,6730269.974,6710554.411,6844736.256,6835622.546,6808431.644,6281559.091,6542802.068,6555060.508,6516141.965,6383963.134,6107967.965,6069600.25,6089580.306,6148128.377,6142069.263
Latin America & Caribbean,1276987.196,1283696.25,1298313.857,1354314.131,1409297.882,1445292.976,1505460.996,1563575.639,1531575.482,1613466.607,1675332.222,1734371.901,1778631.33,1790321.349,1782849.902,1747810.34,1713340.032,1689187.436
Middle East & North Africa,1350731.384,1409355.014,1459139.449,1544912.753,1669805.265,1769544.698,1860354.638,1972254.236,2056000.846,2139556.826,2181023.789,2307912.896,2351557.05,2443881.993,2477603.373,2495121.234,2529043.276,2531611.759
North America,6258891.82,6122272.845,6207669.708,6279990.928,6308773.353,6200326.539,6314305.741,6116180.214,5682803.136,5930460.043,5722290.181,5499724.105,5648288.236,5666856.252,5543983.21,5441468.957,5378301.689,5558099.304
South Asia,1095440,1133540,1167850,1254230,1312050,1400870,1540250,1629080,1781870,1884320,1991420,2145490,2203550,2389180,2422620,2479230,2622720,2770040
