,8395.074358
,9001.310135
,1065.291106
,4944.432719
,795.9531592
,2264.39294
,7546.701353
,3501.870767
,3500.262154
,5399.040431
,61381.71985
,..
,39268.56338
,14402.75104
,4336.985308
,45364.58418
,1449.099681
,13040.53773
,1894.169093
,1894.169093
,1596.825251
,1595.496495
,1596.825251
,9483.693306
,11372.24782
